ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached.on.Time_Y.N;Late_or_ontime;Customer_satisfaction;Customer_segmentation;Weight_category
5114;E;Ship;5;4;154;2;low;Female;5;5528;0;Ontime;Satisfied;Occasional;Heavy weight
5115;A;Ship;5;3;197;3;medium;Female;2;4678;1;Late;Neutral;Occasional;Medium weight
5116;B;Ship;3;2;207;3;medium;Female;1;4369;0;Ontime;Dissatisfied;Occasional;Medium weight
5117;C;Ship;4;1;258;4;low;Male;5;5664;0;Ontime;Dissatisfied;Regular;Heavy weight
5118;E;Ship;3;3;270;3;high;Female;7;4690;1;Late;Neutral;Occasional;Medium weight
5119;D;Ship;5;2;139;4;low;Female;9;5070;1;Late;Dissatisfied;Regular;Heavy weight
5120;E;Ship;3;5;197;3;low;Male;4;5423;0;Ontime;Satisfied;Occasional;Heavy weight
5121;A;Ship;5;2;176;3;low;Male;9;5656;0;Ontime;Dissatisfied;Occasional;Heavy weight
5122;B;Ship;3;1;206;3;medium;Male;5;5676;1;Late;Dissatisfied;Occasional;Heavy weight
5123;C;Ship;4;5;176;4;medium;Male;6;5061;0;Ontime;Satisfied;Regular;Heavy weight
5124;E;Ship;2;4;208;3;medium;Female;6;4226;1;Late;Satisfied;Occasional;Medium weight
5125;D;Ship;3;3;154;2;medium;Female;1;5746;1;Late;Neutral;Occasional;Heavy weight
5126;E;Ship;2;2;206;5;low;Female;7;5203;0;Ontime;Dissatisfied;Regular;Heavy weight
5127;A;Ship;3;5;253;2;low;Male;8;5476;1;Late;Satisfied;Occasional;Heavy weight
5128;B;Ship;4;5;270;3;medium;Female;2;5272;0;Ontime;Satisfied;Occasional;Heavy weight
5129;C;Ship;3;3;271;4;high;Male;3;4006;1;Late;Neutral;Regular;Medium weight
5130;E;Ship;2;1;108;3;low;Male;4;5924;1;Late;Dissatisfied;Occasional;Heavy weight
5131;D;Ship;4;5;172;2;medium;Male;7;4559;0;Ontime;Satisfied;Occasional;Medium weight
5132;E;Ship;5;1;265;3;high;Male;5;4951;1;Late;Dissatisfied;Occasional;Medium weight
5133;A;Ship;4;4;208;5;medium;Female;7;5401;0;Ontime;Satisfied;Regular;Heavy weight
5134;B;Ship;4;5;261;3;high;Male;3;4885;1;Late;Satisfied;Occasional;Medium weight
5135;C;Ship;4;4;197;2;medium;Female;1;5211;0;Ontime;Satisfied;Occasional;Heavy weight
5136;E;Ship;4;4;240;2;medium;Female;4;5101;0;Ontime;Satisfied;Occasional;Heavy weight
5137;D;Ship;4;1;273;4;low;Male;1;4857;0;Ontime;Dissatisfied;Regular;Medium weight
5138;E;Ship;3;5;180;2;medium;Male;1;5940;1;Late;Satisfied;Occasional;Heavy weight
5139;A;Ship;4;2;136;2;medium;Female;7;4305;1;Late;Dissatisfied;Occasional;Medium weight
5140;B;Ship;3;4;222;6;medium;Female;10;4579;1;Late;Satisfied;Regular;Medium weight
5141;C;Ship;4;5;231;4;medium;Male;9;5528;0;Ontime;Satisfied;Regular;Heavy weight
5142;E;Ship;4;5;240;5;low;Male;8;4558;0;Ontime;Satisfied;Regular;Medium weight
5143;D;Ship;4;1;152;3;low;Male;10;5974;0;Ontime;Dissatisfied;Occasional;Heavy weight
5144;E;Ship;5;2;206;2;medium;Female;2;5627;1;Late;Dissatisfied;Occasional;Heavy weight
5145;A;Ship;2;3;274;4;medium;Female;10;4798;1;Late;Neutral;Regular;Medium weight
5146;B;Ship;5;4;97;6;high;Male;7;5509;1;Late;Satisfied;Regular;Heavy weight
5147;C;Ship;3;4;243;4;medium;Female;10;4076;0;Ontime;Satisfied;Regular;Medium weight
5148;E;Ship;3;4;106;6;medium;Female;7;4621;0;Ontime;Satisfied;Regular;Medium weight
5149;D;Ship;5;3;241;3;low;Female;2;5587;1;Late;Neutral;Occasional;Heavy weight
5150;E;Ship;3;1;217;4;medium;Female;1;5761;1;Late;Dissatisfied;Regular;Heavy weight
5151;A;Ship;4;1;241;4;medium;Male;5;5080;0;Ontime;Dissatisfied;Regular;Heavy weight
5152;B;Ship;4;3;213;3;low;Male;6;5447;0;Ontime;Neutral;Occasional;Heavy weight
5153;C;Ship;3;1;134;3;medium;Male;10;4200;0;Ontime;Dissatisfied;Occasional;Medium weight
5154;E;Ship;3;4;162;2;medium;Female;8;4972;0;Ontime;Satisfied;Occasional;Medium weight
5155;D;Ship;2;4;193;4;low;Male;7;5552;1;Late;Satisfied;Regular;Heavy weight
5156;E;Ship;4;3;138;2;medium;Male;9;5297;1;Late;Neutral;Occasional;Heavy weight
5157;A;Ship;5;4;181;5;medium;Male;2;5324;0;Ontime;Satisfied;Regular;Heavy weight
5158;B;Ship;4;2;274;2;low;Male;10;4361;0;Ontime;Dissatisfied;Occasional;Medium weight
5159;C;Ship;4;3;254;2;high;Female;3;4930;0;Ontime;Neutral;Occasional;Medium weight
5160;E;Ship;5;2;196;5;low;Male;10;5111;0;Ontime;Dissatisfied;Regular;Heavy weight
5161;D;Ship;4;2;157;4;low;Female;6;4964;0;Ontime;Dissatisfied;Regular;Medium weight
5162;E;Ship;4;3;130;3;medium;Female;3;4317;0;Ontime;Neutral;Occasional;Medium weight
5163;A;Ship;3;3;273;2;medium;Female;7;5491;0;Ontime;Neutral;Occasional;Heavy weight
5164;B;Ship;4;5;154;3;medium;Female;9;5489;1;Late;Satisfied;Occasional;Heavy weight
5165;C;Ship;4;2;166;3;medium;Female;8;4758;0;Ontime;Dissatisfied;Occasional;Medium weight
5166;E;Ship;5;5;171;3;low;Male;8;4227;0;Ontime;Satisfied;Occasional;Medium weight
5167;D;Ship;5;4;177;2;low;Male;2;5618;1;Late;Satisfied;Occasional;Heavy weight
5168;E;Ship;2;5;195;3;low;Male;3;5785;0;Ontime;Satisfied;Occasional;Heavy weight
5169;A;Ship;5;4;269;2;low;Female;9;5517;0;Ontime;Satisfied;Occasional;Heavy weight
5170;B;Ship;4;1;196;3;low;Male;4;4634;1;Late;Dissatisfied;Occasional;Medium weight
5171;C;Ship;3;1;244;3;high;Male;7;5140;1;Late;Dissatisfied;Occasional;Heavy weight
5172;E;Ship;3;3;137;3;medium;Male;1;5490;1;Late;Neutral;Occasional;Heavy weight
5173;D;Ship;3;2;201;3;high;Male;6;5165;1;Late;Dissatisfied;Occasional;Heavy weight
5174;E;Ship;3;3;211;3;medium;Male;7;5185;0;Ontime;Neutral;Occasional;Heavy weight
5175;A;Ship;5;3;266;3;medium;Female;4;4195;0;Ontime;Neutral;Occasional;Medium weight
5176;B;Ship;5;3;222;2;low;Female;2;5953;1;Late;Neutral;Occasional;Heavy weight
5177;C;Ship;5;4;241;4;high;Male;6;4412;1;Late;Satisfied;Regular;Medium weight
5178;E;Ship;3;2;226;4;medium;Female;8;5225;0;Ontime;Dissatisfied;Regular;Heavy weight
5179;D;Ship;3;5;254;3;medium;Male;3;4072;0;Ontime;Satisfied;Occasional;Medium weight
5180;E;Road;4;5;222;3;medium;Female;8;4950;0;Ontime;Satisfied;Occasional;Medium weight
5181;A;Road;4;4;148;3;medium;Female;5;4892;0;Ontime;Satisfied;Occasional;Medium weight
5182;B;Road;4;3;194;3;medium;Male;3;5916;1;Late;Neutral;Occasional;Heavy weight
5183;C;Road;4;1;177;2;high;Female;7;5599;1;Late;Dissatisfied;Occasional;Heavy weight
5184;E;Road;2;2;150;3;low;Female;6;5854;1;Late;Dissatisfied;Occasional;Heavy weight
5185;D;Road;3;2;111;2;low;Female;4;4245;1;Late;Dissatisfied;Occasional;Medium weight
5186;E;Road;5;4;172;3;low;Female;3;5064;1;Late;Satisfied;Occasional;Heavy weight
5187;A;Road;4;5;234;3;low;Male;3;5438;0;Ontime;Satisfied;Occasional;Heavy weight
5188;B;Road;5;5;257;4;medium;Male;10;5180;1;Late;Satisfied;Regular;Heavy weight
5189;C;Road;3;1;221;3;high;Male;3;5005;1;Late;Dissatisfied;Occasional;Heavy weight
5190;E;Road;5;1;171;5;medium;Female;8;4699;0;Ontime;Dissatisfied;Regular;Medium weight
5191;D;Road;4;4;231;2;low;Female;4;5825;0;Ontime;Satisfied;Occasional;Heavy weight
5192;E;Road;5;5;187;4;medium;Female;9;5326;0;Ontime;Satisfied;Regular;Heavy weight
5193;A;Road;5;4;233;3;low;Male;8;5076;1;Late;Satisfied;Occasional;Heavy weight
5194;B;Road;4;4;268;6;medium;Female;3;4834;0;Ontime;Satisfied;Regular;Medium weight
5195;C;Road;4;2;262;3;low;Female;9;4941;0;Ontime;Dissatisfied;Occasional;Medium weight
5196;E;Road;3;4;284;10;low;Male;8;4562;1;Late;Satisfied;Loyal;Medium weight
5197;D;Road;3;3;259;3;medium;Female;5;4664;0;Ontime;Neutral;Occasional;Medium weight
5198;E;Road;3;1;221;10;medium;Male;10;5473;0;Ontime;Dissatisfied;Loyal;Heavy weight
5199;A;Road;5;5;271;4;high;Female;6;4547;1;Late;Satisfied;Regular;Medium weight
5200;B;Road;5;4;249;3;high;Female;2;4397;1;Late;Satisfied;Occasional;Medium weight
5201;C;Road;5;5;259;3;medium;Female;5;4315;0;Ontime;Satisfied;Occasional;Medium weight
5202;E;Flight;3;1;176;3;low;Male;5;5316;1;Late;Dissatisfied;Occasional;Heavy weight
5203;D;Flight;4;1;139;3;low;Male;6;4942;1;Late;Dissatisfied;Occasional;Medium weight
5204;E;Flight;3;4;243;3;medium;Female;8;4959;0;Ontime;Satisfied;Occasional;Medium weight
5205;A;Flight;5;2;248;3;medium;Male;5;5946;0;Ontime;Dissatisfied;Occasional;Heavy weight
5206;B;Flight;3;5;247;3;low;Female;4;5891;1;Late;Satisfied;Occasional;Heavy weight
5207;C;Flight;5;5;230;10;high;Male;10;5619;1;Late;Satisfied;Loyal;Heavy weight
5208;E;Flight;5;3;134;3;high;Male;8;5016;0;Ontime;Neutral;Occasional;Heavy weight
5209;D;Flight;4;1;184;3;low;Female;8;4667;0;Ontime;Dissatisfied;Occasional;Medium weight
5210;E;Flight;4;5;263;3;medium;Female;6;5445;0;Ontime;Satisfied;Occasional;Heavy weight
5211;A;Flight;5;4;121;5;high;Female;4;4814;0;Ontime;Satisfied;Regular;Medium weight
5212;B;Flight;3;2;160;3;medium;Male;3;5807;0;Ontime;Dissatisfied;Occasional;Heavy weight
5213;C;Flight;4;2;229;4;medium;Male;3;5340;0;Ontime;Dissatisfied;Regular;Heavy weight
5214;E;Flight;7;3;306;4;medium;Male;4;1739;1;Late;Neutral;Regular;Light weight
5215;D;Flight;6;2;291;4;low;Male;8;1019;0;Ontime;Dissatisfied;Regular;Light weight
5216;E;Flight;6;4;292;4;low;Female;10;1321;1;Late;Satisfied;Regular;Light weight
5217;A;Flight;6;2;293;5;low;Male;2;1494;0;Ontime;Dissatisfied;Regular;Light weight
5218;B;Flight;6;4;275;4;low;Male;9;1585;0;Ontime;Satisfied;Regular;Light weight
5219;C;Flight;6;3;274;4;low;Male;2;1833;1;Late;Neutral;Regular;Light weight
5220;E;Flight;7;5;310;4;low;Female;5;1975;0;Ontime;Satisfied;Regular;Light weight
5221;D;Flight;6;3;292;4;low;Female;10;1270;0;Ontime;Neutral;Regular;Light weight
5222;E;Flight;6;5;256;5;low;Male;10;1686;0;Ontime;Satisfied;Regular;Light weight
5223;A;Flight;4;5;234;3;low;Male;5;5213;0;Ontime;Satisfied;Occasional;Heavy weight
5224;B;Ship;5;1;257;4;medium;Male;1;4924;0;Ontime;Dissatisfied;Regular;Medium weight
5225;C;Ship;3;1;221;3;high;Male;1;4948;0;Ontime;Dissatisfied;Occasional;Medium weight
5226;E;Ship;5;1;171;5;medium;Female;2;5921;1;Late;Dissatisfied;Regular;Heavy weight
5227;D;Ship;4;1;231;2;low;Female;1;5917;1;Late;Dissatisfied;Occasional;Heavy weight
5228;E;Ship;5;1;187;4;medium;Female;8;5164;0;Ontime;Dissatisfied;Regular;Heavy weight
5229;A;Ship;5;1;233;3;low;Male;10;5289;0;Ontime;Dissatisfied;Occasional;Heavy weight
5230;B;Ship;4;2;268;6;medium;Male;2;4348;0;Ontime;Dissatisfied;Regular;Medium weight
5231;C;Ship;4;3;262;3;low;Male;9;4404;1;Late;Neutral;Occasional;Medium weight
5232;E;Ship;3;4;284;10;low;Male;5;5479;0;Ontime;Satisfied;Loyal;Heavy weight
5233;D;Ship;3;3;259;3;medium;Female;4;4259;0;Ontime;Neutral;Occasional;Medium weight
5234;E;Ship;3;5;221;10;medium;Female;7;5743;1;Late;Satisfied;Loyal;Heavy weight
5235;A;Ship;5;5;271;4;high;Male;10;4305;1;Late;Satisfied;Regular;Medium weight
5236;B;Ship;5;2;249;3;high;Female;8;5000;1;Late;Dissatisfied;Occasional;Medium weight
5237;C;Ship;5;5;259;3;medium;Female;1;4608;0;Ontime;Satisfied;Occasional;Medium weight
5238;E;Ship;3;1;176;3;low;Female;7;4276;0;Ontime;Dissatisfied;Occasional;Medium weight
5239;D;Ship;4;1;139;3;low;Female;1;5502;1;Late;Dissatisfied;Occasional;Heavy weight
5240;E;Ship;3;1;243;3;medium;Female;2;5827;1;Late;Dissatisfied;Occasional;Heavy weight
5241;A;Ship;5;3;248;3;medium;Male;10;5567;1;Late;Neutral;Occasional;Heavy weight
5242;B;Ship;3;4;247;3;low;Male;6;4873;0;Ontime;Satisfied;Occasional;Medium weight
5243;C;Ship;5;5;230;10;high;Female;3;5391;0;Ontime;Satisfied;Loyal;Heavy weight
5244;E;Ship;5;5;134;3;high;Female;5;5783;1;Late;Satisfied;Occasional;Heavy weight
5245;D;Ship;4;2;184;3;low;Male;10;4931;0;Ontime;Dissatisfied;Occasional;Medium weight
5246;E;Ship;4;4;263;3;medium;Male;10;4680;0;Ontime;Satisfied;Occasional;Medium weight
5247;A;Ship;5;2;121;5;high;Female;4;5833;0;Ontime;Dissatisfied;Regular;Heavy weight
5248;B;Ship;3;1;160;3;medium;Female;4;5132;0;Ontime;Dissatisfied;Occasional;Heavy weight
5249;C;Ship;4;1;229;4;medium;Female;2;5378;1;Late;Dissatisfied;Regular;Heavy weight
5250;E;Ship;7;5;306;4;medium;Female;2;1281;0;Ontime;Satisfied;Regular;Light weight
5251;D;Ship;6;2;291;4;low;Female;7;1046;0;Ontime;Dissatisfied;Regular;Light weight
5252;E;Ship;6;4;292;4;low;Male;9;1056;1;Late;Satisfied;Regular;Light weight
5253;A;Ship;6;5;293;5;low;Female;1;1278;0;Ontime;Satisfied;Regular;Light weight
5254;B;Ship;6;4;275;4;low;Male;10;1266;1;Late;Satisfied;Regular;Light weight
5255;C;Ship;6;3;274;4;low;Male;10;1174;0;Ontime;Neutral;Regular;Light weight
5256;E;Ship;7;2;310;4;low;Male;4;1806;0;Ontime;Dissatisfied;Regular;Light weight
5257;D;Ship;6;5;292;4;low;Female;10;1969;1;Late;Satisfied;Regular;Light weight
5258;E;Ship;6;1;275;4;low;Female;5;1228;0;Ontime;Dissatisfied;Regular;Light weight
5259;A;Ship;7;3;310;4;medium;Male;8;1860;1;Late;Neutral;Regular;Light weight
5260;B;Ship;7;5;281;4;low;Male;8;1987;1;Late;Satisfied;Regular;Light weight
5261;C;Ship;6;5;256;4;low;Male;5;1033;1;Late;Satisfied;Regular;Light weight
5262;E;Ship;6;4;304;4;low;Female;2;1749;0;Ontime;Satisfied;Regular;Light weight
5263;D;Ship;6;4;285;4;medium;Male;6;1582;0;Ontime;Satisfied;Regular;Light weight
5264;E;Ship;7;4;283;5;low;Male;6;1882;1;Late;Satisfied;Regular;Light weight
5265;A;Ship;6;1;304;4;low;Female;4;1236;1;Late;Dissatisfied;Regular;Light weight
5266;B;Ship;6;3;282;4;medium;Male;3;1661;0;Ontime;Neutral;Regular;Light weight
5267;C;Ship;6;2;304;5;medium;Male;6;1178;1;Late;Dissatisfied;Regular;Light weight
5268;E;Ship;6;2;301;5;medium;Male;3;1844;1;Late;Dissatisfied;Regular;Light weight
5269;D;Ship;7;2;296;4;low;Female;6;1005;1;Late;Dissatisfied;Regular;Light weight
5270;E;Ship;6;4;264;4;low;Male;1;1660;1;Late;Satisfied;Regular;Light weight
5271;A;Ship;6;4;306;4;low;Female;6;1461;0;Ontime;Satisfied;Regular;Light weight
5272;B;Ship;7;4;243;4;medium;Female;6;1362;1;Late;Satisfied;Regular;Light weight
5273;C;Ship;6;2;286;4;low;Male;9;1418;0;Ontime;Dissatisfied;Regular;Light weight
5274;E;Ship;6;2;247;4;medium;Male;1;1668;0;Ontime;Dissatisfied;Regular;Light weight
5275;D;Ship;7;5;292;5;low;Male;5;1932;1;Late;Satisfied;Regular;Light weight
5276;E;Ship;6;2;281;2;medium;Female;9;1715;1;Late;Dissatisfied;Occasional;Light weight
5277;A;Ship;6;5;294;4;low;Male;4;1302;0;Ontime;Satisfied;Regular;Light weight
5278;B;Ship;5;1;279;4;low;Female;3;1499;0;Ontime;Dissatisfied;Regular;Light weight
5279;C;Ship;6;4;298;4;medium;Male;9;1629;0;Ontime;Satisfied;Regular;Light weight
5280;E;Ship;6;3;248;4;low;Female;6;1997;1;Late;Neutral;Regular;Light weight
5281;D;Ship;6;5;261;4;low;Female;3;1217;1;Late;Satisfied;Regular;Light weight
5282;E;Ship;5;2;136;2;low;Male;3;1370;0;Ontime;Dissatisfied;Occasional;Light weight
5283;A;Ship;6;3;259;5;medium;Female;1;1271;0;Ontime;Neutral;Regular;Light weight
5284;B;Ship;6;4;292;4;medium;Female;7;1094;1;Late;Satisfied;Regular;Light weight
5285;C;Ship;7;4;305;4;medium;Female;6;1873;0;Ontime;Satisfied;Regular;Light weight
5286;E;Ship;6;2;304;4;low;Female;9;1392;0;Ontime;Dissatisfied;Regular;Light weight
5287;D;Ship;3;5;218;2;low;Male;4;5142;0;Ontime;Satisfied;Occasional;Heavy weight
5288;E;Ship;4;1;268;3;medium;Male;6;4681;1;Late;Dissatisfied;Occasional;Medium weight
5289;A;Ship;2;3;110;5;low;Male;3;4124;0;Ontime;Neutral;Regular;Medium weight
5290;B;Ship;4;4;248;3;low;Female;1;5198;0;Ontime;Satisfied;Occasional;Heavy weight
5291;C;Ship;4;3;194;2;medium;Male;4;5780;1;Late;Neutral;Occasional;Heavy weight
5292;E;Ship;5;4;151;2;low;Female;10;5643;1;Late;Satisfied;Occasional;Heavy weight
5293;D;Ship;3;2;205;2;low;Male;6;4853;0;Ontime;Dissatisfied;Occasional;Medium weight
5294;E;Ship;2;1;275;2;low;Female;5;4163;1;Late;Dissatisfied;Occasional;Medium weight
5295;A;Ship;5;3;229;2;medium;Male;10;5149;0;Ontime;Neutral;Occasional;Heavy weight
5296;B;Ship;3;4;169;3;low;Female;4;5716;0;Ontime;Satisfied;Occasional;Heavy weight
5297;C;Ship;3;1;137;5;low;Female;8;4980;1;Late;Dissatisfied;Regular;Medium weight
5298;E;Ship;3;2;263;3;medium;Female;3;4181;0;Ontime;Dissatisfied;Occasional;Medium weight
5299;D;Ship;5;4;187;3;low;Female;1;4181;0;Ontime;Satisfied;Occasional;Medium weight
5300;E;Ship;4;3;287;4;low;Male;6;5889;0;Ontime;Neutral;Regular;Heavy weight
5301;A;Ship;4;4;134;2;medium;Female;5;5230;0;Ontime;Satisfied;Occasional;Heavy weight
5302;B;Ship;5;4;244;3;medium;Female;3;4015;0;Ontime;Satisfied;Occasional;Medium weight
5303;C;Ship;4;3;229;2;medium;Female;8;5868;0;Ontime;Neutral;Occasional;Heavy weight
5304;E;Ship;5;1;203;5;medium;Male;2;4845;0;Ontime;Dissatisfied;Regular;Medium weight
5305;D;Ship;4;5;183;2;medium;Female;8;4422;0;Ontime;Satisfied;Occasional;Medium weight
5306;E;Ship;4;2;146;2;medium;Male;4;4348;1;Late;Dissatisfied;Occasional;Medium weight
5307;A;Ship;4;4;252;3;medium;Male;1;5676;1;Late;Satisfied;Occasional;Heavy weight
5308;B;Ship;3;5;133;3;medium;Male;7;4314;0;Ontime;Satisfied;Occasional;Medium weight
5309;C;Ship;3;3;207;3;low;Male;7;4816;1;Late;Neutral;Occasional;Medium weight
5310;E;Ship;3;4;243;3;medium;Male;8;5705;1;Late;Satisfied;Occasional;Heavy weight
5311;D;Ship;2;1;219;4;low;Male;7;5573;1;Late;Dissatisfied;Regular;Heavy weight
5312;E;Ship;3;1;182;2;low;Female;3;5510;1;Late;Dissatisfied;Occasional;Heavy weight
5313;A;Ship;5;5;257;3;medium;Female;5;5084;0;Ontime;Satisfied;Occasional;Heavy weight
5314;B;Ship;4;2;256;4;medium;Male;4;5469;0;Ontime;Dissatisfied;Regular;Heavy weight
5315;C;Ship;3;5;181;4;high;Female;1;4971;1;Late;Satisfied;Regular;Medium weight
5316;E;Ship;3;1;219;3;medium;Male;6;4893;1;Late;Dissatisfied;Occasional;Medium weight
5317;D;Road;4;3;227;2;low;Male;3;4375;0;Ontime;Neutral;Occasional;Medium weight
5318;E;Road;3;5;232;2;high;Female;8;5146;0;Ontime;Satisfied;Occasional;Heavy weight
5319;A;Road;6;4;143;4;medium;Male;4;4401;0;Ontime;Satisfied;Regular;Medium weight
5320;B;Road;4;3;274;3;high;Female;7;5517;0;Ontime;Neutral;Occasional;Heavy weight
5321;C;Road;4;4;186;3;low;Female;2;4430;0;Ontime;Satisfied;Occasional;Medium weight
5322;E;Road;3;4;273;3;low;Male;3;5163;1;Late;Satisfied;Occasional;Heavy weight
5323;D;Road;3;3;199;3;low;Male;7;5258;1;Late;Neutral;Occasional;Heavy weight
5324;E;Road;4;4;238;3;medium;Female;5;4724;1;Late;Satisfied;Occasional;Medium weight
5325;A;Road;4;3;175;3;medium;Female;4;5784;0;Ontime;Neutral;Occasional;Heavy weight
5326;B;Road;4;2;252;6;medium;Male;2;5476;0;Ontime;Dissatisfied;Regular;Heavy weight
5327;C;Road;6;1;250;3;low;Male;5;5621;1;Late;Dissatisfied;Occasional;Heavy weight
5328;E;Road;3;2;254;2;medium;Female;10;5608;0;Ontime;Dissatisfied;Occasional;Heavy weight
5329;D;Road;2;4;201;2;high;Male;2;5115;0;Ontime;Satisfied;Occasional;Heavy weight
5330;E;Road;5;1;234;3;high;Female;9;5548;0;Ontime;Dissatisfied;Occasional;Heavy weight
5331;A;Road;4;2;164;4;low;Male;2;5008;0;Ontime;Dissatisfied;Regular;Heavy weight
5332;B;Road;4;1;197;3;low;Male;2;4326;0;Ontime;Dissatisfied;Occasional;Medium weight
5333;C;Road;4;3;158;4;medium;Male;7;4460;0;Ontime;Neutral;Regular;Medium weight
5334;E;Road;3;2;158;3;medium;Male;4;5335;0;Ontime;Dissatisfied;Occasional;Heavy weight
5335;D;Road;5;3;111;4;medium;Female;8;4575;0;Ontime;Neutral;Regular;Medium weight
5336;E;Road;5;3;215;3;low;Female;2;4731;1;Late;Neutral;Occasional;Medium weight
5337;A;Road;6;3;233;3;medium;Female;9;4293;1;Late;Neutral;Occasional;Medium weight
5338;B;Road;4;4;204;3;medium;Male;8;5614;0;Ontime;Satisfied;Occasional;Heavy weight
5339;C;Flight;2;5;254;2;low;Male;10;5718;1;Late;Satisfied;Occasional;Heavy weight
5340;E;Flight;5;1;162;3;medium;Female;1;5537;0;Ontime;Dissatisfied;Occasional;Heavy weight
5341;D;Flight;4;1;249;5;low;Male;9;4396;0;Ontime;Dissatisfied;Regular;Medium weight
5342;E;Flight;3;2;151;3;low;Female;7;5154;1;Late;Dissatisfied;Occasional;Heavy weight
5343;A;Flight;4;2;243;2;medium;Female;6;4573;0;Ontime;Dissatisfied;Occasional;Medium weight
5344;B;Flight;4;2;181;3;low;Male;4;5078;0;Ontime;Dissatisfied;Occasional;Heavy weight
5345;C;Flight;4;3;241;2;medium;Female;4;5942;1;Late;Neutral;Occasional;Heavy weight
5346;E;Flight;3;3;175;3;low;Male;2;5740;1;Late;Neutral;Occasional;Heavy weight
5347;D;Flight;3;1;191;2;medium;Female;10;5073;0;Ontime;Dissatisfied;Occasional;Heavy weight
5348;E;Flight;4;5;260;3;high;Male;10;4919;0;Ontime;Satisfied;Occasional;Medium weight
5349;A;Flight;4;1;263;4;low;Male;9;4390;0;Ontime;Dissatisfied;Regular;Medium weight
5350;B;Flight;4;1;254;2;low;Male;10;4230;1;Late;Dissatisfied;Occasional;Medium weight
5351;C;Flight;5;5;103;6;medium;Female;2;4860;0;Ontime;Satisfied;Regular;Medium weight
5352;E;Flight;5;2;254;5;medium;Female;2;5655;1;Late;Dissatisfied;Regular;Heavy weight
5353;D;Flight;5;4;235;2;medium;Male;9;5549;0;Ontime;Satisfied;Occasional;Heavy weight
5354;E;Flight;4;3;167;3;medium;Female;1;4621;1;Late;Neutral;Occasional;Medium weight
5355;A;Flight;4;5;140;5;medium;Female;3;4191;1;Late;Satisfied;Regular;Medium weight
5356;B;Flight;4;1;231;3;medium;Male;2;4940;0;Ontime;Dissatisfied;Occasional;Medium weight
5357;C;Flight;2;4;144;4;low;Female;8;5760;1;Late;Satisfied;Regular;Heavy weight
5358;E;Flight;4;5;183;2;medium;Female;2;4533;1;Late;Satisfied;Occasional;Medium weight
5359;D;Flight;4;3;149;3;low;Female;3;5542;0;Ontime;Neutral;Occasional;Heavy weight
5360;E;Flight;4;4;145;2;medium;Male;8;5645;1;Late;Satisfied;Occasional;Heavy weight
5361;A;Ship;3;3;223;3;medium;Female;4;5062;1;Late;Neutral;Occasional;Heavy weight
5362;B;Ship;4;2;251;2;low;Female;10;4898;1;Late;Dissatisfied;Occasional;Medium weight
5363;C;Ship;4;2;240;3;medium;Male;9;5170;1;Late;Dissatisfied;Occasional;Heavy weight
5364;E;Ship;4;5;226;5;low;Female;5;4833;0;Ontime;Satisfied;Regular;Medium weight
5365;D;Ship;4;1;200;2;low;Male;5;5072;1;Late;Dissatisfied;Occasional;Heavy weight
5366;E;Ship;3;4;213;3;high;Female;4;5996;0;Ontime;Satisfied;Occasional;Heavy weight
5367;A;Ship;3;4;166;2;low;Female;10;5258;0;Ontime;Satisfied;Occasional;Heavy weight
5368;B;Ship;5;2;203;6;medium;Female;7;5289;0;Ontime;Dissatisfied;Regular;Heavy weight
5369;C;Ship;3;4;175;2;medium;Male;9;5643;1;Late;Satisfied;Occasional;Heavy weight
5370;E;Ship;4;2;197;3;low;Female;6;5826;0;Ontime;Dissatisfied;Occasional;Heavy weight
5371;D;Ship;4;1;158;3;medium;Male;5;5782;0;Ontime;Dissatisfied;Occasional;Heavy weight
5372;E;Ship;4;2;257;2;low;Male;7;5325;1;Late;Dissatisfied;Occasional;Heavy weight
5373;A;Ship;3;1;183;2;medium;Female;3;4042;0;Ontime;Dissatisfied;Occasional;Medium weight
5374;B;Ship;3;3;254;2;medium;Male;8;4890;1;Late;Neutral;Occasional;Medium weight
5375;C;Ship;3;1;219;2;medium;Female;10;4390;1;Late;Dissatisfied;Occasional;Medium weight
5376;E;Ship;3;5;271;4;low;Male;3;5831;1;Late;Satisfied;Regular;Heavy weight
5377;D;Ship;4;4;236;2;medium;Female;5;5266;0;Ontime;Satisfied;Occasional;Heavy weight
5378;E;Ship;5;1;170;4;high;Male;6;5258;1;Late;Dissatisfied;Regular;Heavy weight
5379;A;Ship;5;4;203;2;high;Female;2;4190;1;Late;Satisfied;Occasional;Medium weight
5380;B;Ship;3;5;258;3;low;Male;5;4314;1;Late;Satisfied;Occasional;Medium weight
5381;C;Ship;4;5;228;2;low;Female;4;4783;1;Late;Satisfied;Occasional;Medium weight
5382;E;Ship;6;3;251;5;medium;Male;8;4877;0;Ontime;Neutral;Regular;Medium weight
5383;D;Ship;3;3;166;2;medium;Male;4;4254;1;Late;Neutral;Occasional;Medium weight
5384;E;Ship;3;5;147;3;low;Female;4;5042;0;Ontime;Satisfied;Occasional;Heavy weight
5385;A;Ship;5;4;248;4;medium;Female;5;4271;1;Late;Satisfied;Regular;Medium weight
